,start,end,x_ksm,y_ksm,z_ksm,duration,Range (RS),LocalTime (hr),Latitute (deg)
177,2004-05-14 14:57:00.000,2004-05-14 17:09:00.000,160.68110626621956,-378.9739977063764,-54.33758088494181,7920.0,415.2014951140185,7.198888888888889,-19.813937782342595
178,2004-05-14 18:48:00.000,2004-05-14 19:30:00.000,160.1689567330583,-377.8095570833357,-54.29005960559671,2520.0,413.9342540747768,7.198888888888889,-19.81412893699226
179,2004-05-16 07:12:00.000,2004-05-16 10:54:00.000,155.33559527283057,-366.93271769301344,-52.81253414561853,13320.0,401.9426952131702,7.196666666666667,-19.81603324631645
180,2004-05-16 11:06:00.000,2004-05-16 16:21:00.000,154.8186565964389,-365.7737076177494,-52.59847894754038,18900.0,400.65673787215377,7.196388888888889,-19.816248506142323
181,2004-05-16 17:27:00.000,2004-05-17 00:36:00.000,153.9773457580798,-363.8615936153381,-52.41888803038397,25740.0,398.5624444642754,7.196111111111112,-19.816604020117506
182,2004-05-17 18:00:00.000,2004-05-18 08:42:00.000,150.7289695580168,-356.5156768015664,-51.343708442782685,52920.0,390.4597629282152,7.194722222222223,-19.818041216727003
183,2004-05-19 23:24:00.000,2004-05-20 03:39:00.000,143.68498760470354,-340.4658168713047,-49.178939377268925,15300.0,372.80144339726166,7.191944444444444,-19.821541431100943
184,2004-05-20 08:30:00.000,2004-05-20 09:03:00.000,142.48736304980198,-337.72193386197955,-48.82629562795025,1980.0,369.7874529849673,7.191666666666667,-19.822191231607743
185,2004-05-20 09:18:00.000,2004-05-20 13:09:00.000,142.38211315896777,-337.4832217493688,-48.77732035212552,13860.0,369.5224189283793,7.1913888888888895,-19.82224906233916
186,2004-05-20 20:06:00.000,2004-05-21 01:51:00.000,140.9618030178337,-334.2278265729723,-48.33317172791241,20700.0,365.94339105251134,7.191111111111112,-19.823040151177217
187,2004-05-21 06:54:00.000,2004-05-22 01:33:00.000,139.54254809863787,-330.96991345652964,-47.88828142589799,67140.0,362.36237917478326,7.190555555555556,-19.823849264260804
